period_start,regionid,fuel,perc
2026-07-17T00:00:00Z,1,biomass,0
2026-07-17T00:00:00Z,1,coal,0
2026-07-17T00:00:00Z,1,gas,0
2026-07-17T00:00:00Z,1,hydro,0
2026-07-17T00:00:00Z,1,imports,0
2026-07-17T00:00:00Z,1,nuclear,0
2026-07-17T00:00:00Z,1,other,0
2026-07-17T00:00:00Z,1,solar,0
2026-07-17T00:00:00Z,1,wind,100
2026-07-17T00:00:00Z,2,biomass,3
2026-07-17T00:00:00Z,2,coal,0
2026-07-17T00:00:00Z,2,gas,0
2026-07-17T00:00:00Z,2,hydro,0
2026-07-17T00:00:00Z,2,imports,0
2026-07-17T00:00:00Z,2,nuclear,54
2026-07-17T00:00:00Z,2,other,0
2026-07-17T00:00:00Z,2,solar,0
2026-07-17T00:00:00Z,2,wind,43
2026-07-17T00:00:00Z,3,biomass,5.5
2026-07-17T00:00:00Z,3,coal,0
2026-07-17T00:00:00Z,3,gas,19.8
2026-07-17T00:00:00Z,3,hydro,0
2026-07-17T00:00:00Z,3,imports,10.7
2026-07-17T00:00:00Z,3,nuclear,46.8
2026-07-17T00:00:00Z,3,other,0
2026-07-17T00:00:00Z,3,solar,0
2026-07-17T00:00:00Z,3,wind,17.3
2026-07-17T00:00:00Z,4,biomass,19.9
2026-07-17T00:00:00Z,4,coal,0
2026-07-17T00:00:00Z,4,gas,0
2026-07-17T00:00:00Z,4,hydro,0
2026-07-17T00:00:00Z,4,imports,44.8
2026-07-17T00:00:00Z,4,nuclear,25.5
2026-07-17T00:00:00Z,4,other,0
2026-07-17T00:00:00Z,4,solar,0
2026-07-17T00:00:00Z,4,wind,9.9
2026-07-17T00:00:00Z,5,biomass,46.4
2026-07-17T00:00:00Z,5,coal,0
2026-07-17T00:00:00Z,5,gas,20.8
2026-07-17T00:00:00Z,5,hydro,0
2026-07-17T00:00:00Z,5,imports,12.2
2026-07-17T00:00:00Z,5,nuclear,9.1
2026-07-17T00:00:00Z,5,other,0
2026-07-17T00:00:00Z,5,solar,0
2026-07-17T00:00:00Z,5,wind,11.5
2026-07-17T00:00:00Z,6,biomass,3.2
2026-07-17T00:00:00Z,6,coal,0
2026-07-17T00:00:00Z,6,gas,32.1
2026-07-17T00:00:00Z,6,hydro,0
2026-07-17T00:00:00Z,6,imports,4
2026-07-17T00:00:00Z,6,nuclear,36.6
2026-07-17T00:00:00Z,6,other,0
2026-07-17T00:00:00Z,6,solar,0
2026-07-17T00:00:00Z,6,wind,24.1
2026-07-17T00:00:00Z,7,biomass,0
2026-07-17T00:00:00Z,7,coal,0
2026-07-17T00:00:00Z,7,gas,96.5
2026-07-17T00:00:00Z,7,hydro,0
2026-07-17T00:00:00Z,7,imports,0
2026-07-17T00:00:00Z,7,nuclear,0
2026-07-17T00:00:00Z,7,other,0
2026-07-17T00:00:00Z,7,solar,0
2026-07-17T00:00:00Z,7,wind,3.5
2026-07-17T00:00:00Z,8,biomass,3.5
2026-07-17T00:00:00Z,8,coal,0
2026-07-17T00:00:00Z,8,gas,52.9
2026-07-17T00:00:00Z,8,hydro,0
2026-07-17T00:00:00Z,8,imports,4.7
2026-07-17T00:00:00Z,8,nuclear,25.5
2026-07-17T00:00:00Z,8,other,0
2026-07-17T00:00:00Z,8,solar,0
